# Summary
# percent  method  mean_MAE_cm^-1  std_MAE_cm^-1  sem_MAE_cm^-1  n_runs
CCSD            check10   validation_copy\check10.npy   50      5.88225138
CCSD            check10   validation_copy\check10.npy   60      5.42507663
CCSD            check10   validation_copy\check10.npy   70      4.99303787
CCSD            check10   validation_copy\check10.npy   80      1.80899572
CCSD            check11   validation_copy\check11.npy   10     15.80554748
CCSD            check11   validation_copy\check11.npy   20     14.02902427
CCSD            check11   validation_copy\check11.npy   30     11.68292835
CCSD            check11   validation_copy\check11.npy   40      8.35425613
CCSD            check11   validation_copy\check11.npy   50      8.30796261
CCSD            check11   validation_copy\check11.npy   60      4.06966666
CCSD            check11   validation_copy\check11.npy   70      2.56677611
CCSD            check11   validation_copy\check11.npy   80      4.87173597
DFT+CCSD        check     validation_copy\check.npy   10     28.72779922
DFT+CCSD        check     validation_copy\check.npy   20     12.90529469
DFT+CCSD        check     validation_copy\check.npy   30      7.01314702
DFT+CCSD        check     validation_copy\check.npy   40      3.16580318
DFT+CCSD        check     validation_copy\check.npy   50      2.10794635
DFT+CCSD        check     validation_copy\check.npy   60      1.56908346
DFT+CCSD        check     validation_copy\check.npy   70      1.64619212
DFT+CCSD        check     validation_copy\check.npy   80      0.91076148
DFT+CCSD        check1    validation_copy\check1.npy   10     28.83722789
DFT+CCSD        check1    validation_copy\check1.npy   20     12.85791059
DFT+CCSD        check1    validation_copy\check1.npy   30      6.93093393
DFT+CCSD        check1    validation_copy\check1.npy   40      3.21603605
DFT+CCSD        check1    validation_copy\check1.npy   50      2.25917486
DFT+CCSD        check1    validation_copy\check1.npy   60      1.59193119
DFT+CCSD        check1    validation_copy\check1.npy   70      1.25530125
DFT+CCSD        check1    validation_copy\check1.npy   80      0.88592563
DFT+CCSD        check2    validation_copy\check2.npy   10      1.55698293
DFT+CCSD        check2    validation_copy\check2.npy   20      1.82949411
DFT+CCSD        check2    validation_copy\check2.npy   30      1.75703978
DFT+CCSD        check2    validation_copy\check2.npy   40      1.77075743
DFT+CCSD        check2    validation_copy\check2.npy   50      1.73917920
DFT+CCSD        check2    validation_copy\check2.npy   60      1.70350778
DFT+CCSD        check2    validation_copy\check2.npy   70      1.71149720
DFT+CCSD        check2    validation_copy\check2.npy   80      1.73974998
DFT+CCSD        check3    validation_copy\check3.npy   10      1.63715567
DFT+CCSD        check3    validation_copy\check3.npy   20      1.83984265
DFT+CCSD        check3    validation_copy\check3.npy   30      1.72695069
DFT+CCSD        check3    validation_copy\check3.npy   40      1.74232709
DFT+CCSD        check3    validation_copy\check3.npy   50      1.72948557
DFT+CCSD        check3    validation_copy\check3.npy   60      1.71353626
DFT+CCSD        check3    validation_copy\check3.npy   70      1.61585275
DFT+CCSD        check3    validation_copy\check3.npy   80      1.95758707
DFT+CCSD        check4    validation_copy\check4.npy   10      1.68015512
DFT+CCSD        check4    validation_copy\check4.npy   20      1.71107037
DFT+CCSD        check4    validation_copy\check4.npy   30      1.78362465
DFT+CCSD        check4    validation_copy\check4.npy   40      1.73079666
DFT+CCSD        check4    validation_copy\check4.npy   50      1.55546563
DFT+CCSD        check4    validation_copy\check4.npy   60      1.90870244
DFT+CCSD        check4    validation_copy\check4.npy   70      1.43461981
DFT+CCSD        check4    validation_copy\check4.npy   80      1.70363582
DFT+CCSD        check5    validation_copy\check5.npy   10      1.86462552
DFT+CCSD        check5    validation_copy\check5.npy   20      1.68548073
DFT+CCSD        check5    validation_copy\check5.npy   30      1.68868135
DFT+CCSD        check5    validation_copy\check5.npy   40      1.64732315
DFT+CCSD        check5    validation_copy\check5.npy   50      1.74503178
DFT+CCSD        check5    validation_copy\check5.npy   60      1.57770724
DFT+CCSD        check5    validation_copy\check5.npy   70      1.56399132
DFT+CCSD        check5    validation_copy\check5.npy   80      1.58706883
DFT+CCSD        check6    validation_copy\check6.npy   10     28.64125205
DFT+CCSD        check6    validation_copy\check6.npy   20     12.87983066
DFT+CCSD        check6    validation_copy\check6.npy   30      6.75535724
DFT+CCSD        check6    validation_copy\check6.npy   40      3.25821609
DFT+CCSD        check6    validation_copy\check6.npy   50      2.15993203
DFT+CCSD        check6    validation_copy\check6.npy   60      1.63424576
DFT+CCSD        check6    validation_copy\check6.npy   70      1.40121838
DFT+CCSD        check6    validation_copy\check6.npy   80      0.90186813
DFT+CCSD        check7    validation_copy\check7.npy   10     29.00924887
DFT+CCSD        check7    validation_copy\check7.npy   20     12.90212056
DFT+CCSD        check7    validation_copy\check7.npy   30      6.88143878
DFT+CCSD        check7    validation_copy\check7.npy   40      3.27154886
DFT+CCSD        check7    validation_copy\check7.npy   50      2.64981729
DFT+CCSD        check7    validation_copy\check7.npy   60      1.59189277
DFT+CCSD        check7    validation_copy\check7.npy   70      1.41181282
DFT+CCSD        check7    validation_copy\check7.npy   80      0.97102067
DFT+CCSD        check8    validation_copy\check8.npy   10     28.66072967
DFT+CCSD        check8    validation_copy\check8.npy   20     13.01810619
DFT+CCSD        check8    validation_copy\check8.npy   30      6.75076720
DFT+CCSD        check8    validation_copy\check8.npy   40      3.25632472
DFT+CCSD        check8    validation_copy\check8.npy   50      2.00800043
DFT+CCSD        check8    validation_copy\check8.npy   60      1.48290934
DFT+CCSD        check8    validation_copy\check8.npy   70      1.35820955
DFT+CCSD        check8    validation_copy\check8.npy   80      1.07242683
DFT+CCSD        check9    validation_copy\check9.npy   10     28.78951891
DFT+CCSD        check9    validation_copy\check9.npy   20     12.78077338
DFT+CCSD        check9    validation_copy\check9.npy   30      6.95248776
DFT+CCSD        check9    validation_copy\check9.npy   40      3.30058321
DFT+CCSD        check9    validation_copy\check9.npy   50      2.18019091
DFT+CCSD        check9    validation_copy\check9.npy   60      1.58134013
DFT+CCSD        check9    validation_copy\check9.npy   70      1.24795046
DFT+CCSD        check9    validation_copy\check9.npy   80      0.90401773
DFT+CCSD        check10   validation_copy\check10.npy   10     28.77218730
DFT+CCSD        check10   validation_copy\check10.npy   20     13.05518072
DFT+CCSD        check10   validation_copy\check10.npy   30      7.06431672
DFT+CCSD        check10   validation_copy\check10.npy   40      3.31516592
DFT+CCSD        check10   validation_copy\check10.npy   50      2.10509309
DFT+CCSD        check10   validation_copy\check10.npy   60      1.90793142
DFT+CCSD        check10   validation_copy\check10.npy   70      1.10488641
DFT+CCSD        check10   validation_copy\check10.npy   80      1.30137852
